"Accession","Title","Technology","Taxonomy","Data.Rows","Samples.Count","Series.Count","Contact","Release.Date"
"GPL26711","Illumina NextSeq 500 (Emiliania huxleyi CCMP1516)","high-throughput sequencing","Emiliania huxleyi CCMP1516",0,0,0,"GEO","May 28, 2019"
"GPL26713","Illumina HiSeq 4000 (Talaromyces pinophilus)","high-throughput sequencing","Talaromyces pinophilus",0,6,1,"GEO","May 28, 2019"
"GPL26705","Reverse Pharse Protein Array (RPPA)-MD Anderson Cancer Center","spotted peptide or protein","Homo sapiens",304,3,1,"Ramon Parsons","May 25, 2019"
"GPL26706","Illumina HiSeq 2500 (Enterococcus faecalis OG1RF)","high-throughput sequencing","Enterococcus faecalis OG1RF",0,6,1,"GEO","May 24, 2019"
"GPL26707","Illumina NextSeq 500 (Sclerotium cepivorum)","high-throughput sequencing","Sclerotium cepivorum",0,0,0,"GEO","May 24, 2019"
"GPL24762","Nanostring nCounter Pt_TFs Custom CodeSet","other","Phaeodactylum tricornutum",109,106,3,"Angela Falciatore","May 23, 2019"
"GPL26700","HiSeq X Ten (Agaricus blazei)","high-throughput sequencing","Agaricus blazei",0,33,1,"GEO","May 23, 2019"
"GPL26701","Illumina HiSeq 2000 (Capsicum annuum; Solanum lycopersicum)","high-throughput sequencing","Capsicum annuum;Solanum lycopersicum",0,0,0,"GEO","May 23, 2019"
"GPL26704","Illumina NextSeq 500 (Seminavis robusta)","high-throughput sequencing","Seminavis robusta",0,18,1,"GEO","May 23, 2019"
"GPL26697","HiSeq X Ten (synthetic construct)","high-throughput sequencing","synthetic construct",0,10,2,"GEO","May 22, 2019"
"GPL26698","Illumina Human Exome Asian BeadChip  (Exome_Asian_30K_ExomePlus_15031624_A)","oligonucleotide beads","Homo sapiens",274959,8949,1,"GEO admin","May 22, 2019"
"GPL26699","Illumina Human Exome Fine BeadChip (Exome_Fine_30K_ExomePlus_15031625_B)","oligonucleotide beads","Homo sapiens",270241,12398,1,"GEO admin","May 22, 2019"
"GPL26689","Taqman Low Density Array For Glioma Subtyping","RT-PCR","Homo sapiens",44,215,2,"Fan Xiaolong","May 21, 2019"
"GPL26690","Illumina HiSeq 2500 (Verticillium dahliae)","high-throughput sequencing","Verticillium dahliae",0,3,1,"GEO","May 20, 2019"
"GPL26691","Illumina HiSeq 2500 (Erysiphe pisi; Pisum sativum)","high-throughput sequencing","Erysiphe pisi;Pisum sativum",0,0,0,"GEO","May 20, 2019"
"GPL26693","Illumina HiSeq 2500 (Homo sapiens; Human immunodeficiency virus 1)","high-throughput sequencing","Homo sapiens;Human immunodeficiency virus 1",0,1,1,"GEO","May 20, 2019"
"GPL26694","Illumina MiSeq (Homo sapiens; Human immunodeficiency virus 1)","high-throughput sequencing","Homo sapiens;Human immunodeficiency virus 1",0,7,1,"GEO","May 20, 2019"
"GPL26683","MICROMAX™ human cDNA Microarray System","spotted oligonucleotide","Homo sapiens",2396,3,1,"Pranela Rameshwar","May 18, 2019"
"GPL26680","Illumina NextSeq 500 (Escherichia coli UTI89)","high-throughput sequencing","Escherichia coli UTI89",0,2,1,"GEO","May 17, 2019"
"GPL26681","Ion Torrent Proton (Brucella melitensis)","high-throughput sequencing","Brucella melitensis",0,6,1,"GEO","May 17, 2019"
"GPL26685","Illumina MiSeq (Sinorhizobium meliloti)","high-throughput sequencing","Sinorhizobium meliloti",0,2,1,"GEO","May 17, 2019"
"GPL26686","Illumina HiSeq 4000 (Peromyscus maniculatus)","high-throughput sequencing","Peromyscus maniculatus",0,22,2,"GEO","May 17, 2019"
"GPL26675","Illumina NextSeq 500 (Lasiodiplodia theobromae)","high-throughput sequencing","Lasiodiplodia theobromae",0,6,1,"GEO","May 16, 2019"
"GPL26676","Illumina NextSeq 500 (Lasiodiplodia hormozganensis)","high-throughput sequencing","Lasiodiplodia hormozganensis",0,0,0,"GEO","May 16, 2019"
"GPL26677","Illumina HiSeq 2500 (Dionaea muscipula)","high-throughput sequencing","Dionaea muscipula",0,0,0,"GEO","May 16, 2019"
"GPL26679","Illumina HiSeq 2000 (Camelus dromedarius)","high-throughput sequencing","Camelus dromedarius",0,4,1,"GEO","May 16, 2019"
"GPL21268","Mouse MM1200 OpArray [pMouse_combIds_2007Sept.GAL; index ID version]","spotted oligonucleotide","Mus musculus",37440,2,1,"Eylem Aydogdu","May 15, 2019"
"GPL26672","Illumina NovaSeq 6000 (Caenorhabditis elegans)","high-throughput sequencing","Caenorhabditis elegans",0,37,2,"GEO","May 15, 2019"
"GPL26673"," (marine metagenome)","high-throughput sequencing","marine metagenome",0,4,1,"GEO","May 15, 2019"
"GPL26403","Operon Arabidopsis Version 3.0 microarray","spotted oligonucleotide","Arabidopsis thaliana",26284,23,1,"JiHye Hwang","May 14, 2019"
"GPL26660","Illumina HiSeq 2500 (Mycobacterium tuberculosis variant bovis)","high-throughput sequencing","Mycobacterium tuberculosis variant bovis",0,0,0,"GEO","May 14, 2019"
"GPL26661","Illumina HiSeq 2500 (Mycobacterium canettii)","high-throughput sequencing","Mycobacterium canettii",0,0,0,"GEO","May 14, 2019"
"GPL26662","Illumina HiSeq 2500 (Mycobacterium tuberculosis variant africanum)","high-throughput sequencing","Mycobacterium tuberculosis variant africanum",0,0,0,"GEO","May 14, 2019"
"GPL26664","Illumina HiSeq 4000 (Penicillium oxalicum)","high-throughput sequencing","Penicillium oxalicum",0,15,1,"GEO","May 14, 2019"
"GPL26665","Illumina HiSeq 2500 (Chaetomium globosum CBS 148.51)","high-throughput sequencing","Chaetomium globosum CBS 148.51",0,22,1,"GEO","May 14, 2019"
"GPL26667","HiSeq X Ten (Oryza sativa Indica Group)","high-throughput sequencing","Oryza sativa Indica Group",0,12,1,"GEO","May 14, 2019"
"GPL26668","Illumina NovaSeq 6000 (Dictyostelium discoideum)","high-throughput sequencing","Dictyostelium discoideum",0,0,0,"GEO","May 14, 2019"
"GPL26670","Illumina HiSeq 2000 (Agrobacterium sp. CGMCC 11546)","high-throughput sequencing","Agrobacterium sp. CGMCC 11546",0,0,0,"GEO","May 14, 2019"
"GPL26671","Ion Torrent S5 (Boswellia sacra)","high-throughput sequencing","Boswellia sacra",0,4,1,"GEO","May 14, 2019"
"GPL26517","[PhyloChip] Affymetrix G2 PhyloChip 2012 Greengenes taxonomy","in situ oligonucleotide","Archaea;Bacteria",843,11,1,"Heather Elizabeth Driscoll","May 13, 2019"
"GPL23501","USC/ACUIGEN-Ruditapes philippinarum-8 × 15 k-designID: 072098","spotted oligonucleotide","Ruditapes philippinarum",15151,48,3,"Belen G Pardo","May 13, 2019"
"GPL26657","BGISEQ-500 (Megalobrama amblycephala)","high-throughput sequencing","Megalobrama amblycephala",0,8,1,"GEO","May 13, 2019"
"GPL26658","Illumina HiSeq 4000 (Komagataella phaffii)","high-throughput sequencing","Komagataella phaffii",0,39,2,"GEO","May 13, 2019"
"GPL26656","BGISEQ-500 (Bombus terrestris)","high-throughput sequencing","Bombus terrestris",0,4,1,"GEO","May 12, 2019"
"GPL26650","AB 5500xl Genetic Analyzer (Fusarium graminearum)","high-throughput sequencing","Fusarium graminearum",0,60,1,"GEO","May 10, 2019"
"GPL26651","Illumina HiSeq 3000 (Fusarium graminearum)","high-throughput sequencing","Fusarium graminearum",0,8,1,"GEO","May 10, 2019"
"GPL26652","Illumina NextSeq 500 (Pimelobacter simplex)","high-throughput sequencing","Pimelobacter simplex",0,8,3,"GEO","May 10, 2019"
"GPL26653","Illumina NextSeq 500 (Thalassiosira pseudonana CCMP1335)","high-throughput sequencing","Thalassiosira pseudonana CCMP1335",0,24,1,"GEO","May 10, 2019"
"GPL26642","nCounter Max Analysis System (GEN1)","other","Homo sapiens",89,99,1,"Hatice Gulcin Ozer","May 09, 2019"
"GPL26644","[Clariom_S_Mouse] Affymetrix Clariom S Assay, Mouse [CDF: Brainarray ClariomSMouse_Mm_ENTREZG_22.0.0]","in situ oligonucleotide","Mus musculus",20142,35,1,"Kathy Phillippy","May 09, 2019"
"GPL26645","Illumina HiSeq 2500 (Apis laboriosa)","high-throughput sequencing","Apis laboriosa",0,1,1,"GEO","May 09, 2019"
"GPL26646","Illumina HiSeq 2500 (Apis dorsata)","high-throughput sequencing","Apis dorsata",0,1,1,"GEO","May 09, 2019"
"GPL26647","Illumina HiSeq 2500 (Valsa mali)","high-throughput sequencing","Valsa mali",0,2,1,"GEO","May 09, 2019"
"GPL26648","Illumina HiSeq 2000 (Human immunodeficiency virus)","high-throughput sequencing","Human immunodeficiency virus",0,11,1,"GEO","May 09, 2019"
"GPL26334","NanoString nCounter human PanCancer Pathways Profiling Panel (Custom Codeset)","other","Homo sapiens",794,6,1,"Todd P Knutson","May 08, 2019"
"GPL25017","NimbleGen Mouse CGH 3x1.4M Whole-Genome Tiling Array (Build MM9) [110922_MM9_WG_tiling_TG_CGH UX3]","in situ oligonucleotide","Mus musculus",0,110,1,"Thomas E. Wilson","May 08, 2019"
"GPL26632","Duke/RG_uPBM_6x80k_with_crystal_structure_probes","in situ oligonucleotide","synthetic construct",62976,1,2,"Raluca Gordan","May 08, 2019"
"GPL26633","Duke/RG_uPBM_4x44k_with_Mat2_probes","in situ oligonucleotide","synthetic construct",45220,2,2,"Raluca Gordan","May 08, 2019"
"GPL26634","Duke/RG_uPBM_4x44k_with_GR_probes","in situ oligonucleotide","synthetic construct",45220,1,2,"Raluca Gordan","May 08, 2019"
"GPL26636","Illumina NextSeq 500 (Callithrix jacchus)","high-throughput sequencing","Callithrix jacchus",0,14,4,"GEO","May 08, 2019"
"GPL26637","Illumina HiSeq 2500 (Staphylococcus aureus subsp. aureus USA300)","high-throughput sequencing","Staphylococcus aureus subsp. aureus USA300",0,0,0,"GEO","May 08, 2019"
"GPL26638","Illumina HiSeq 2500 (Colossoma macropomum)","high-throughput sequencing","Colossoma macropomum",0,0,0,"GEO","May 08, 2019"
"GPL26639","Illumina HiSeq 4000 ([Haemophilus] ducreyi; Homo sapiens)","high-throughput sequencing","Homo sapiens;[Haemophilus] ducreyi",0,4,1,"GEO","May 08, 2019"
"GPL26640","Illumina HiSeq 4000 ([Haemophilus] ducreyi)","high-throughput sequencing","[Haemophilus] ducreyi",0,4,1,"GEO","May 08, 2019"
"GPL26156","ThermoFisher 10-plex Tandem Mass Tag (TMT) Mass Spectrometry","MS","Mus musculus",0,20,3,"Lorena Pantano","May 07, 2019"
"GPL26598","Agilent-050340 Custom Rat miRNA Microarray","in situ oligonucleotide","Rattus norvegicus",0,6,1,"Nakwon Choe","May 07, 2019"
"GPL26631","Illumina HiSeq 2000 (Saccharum hybrid cultivar)","high-throughput sequencing","Saccharum hybrid cultivar",0,12,1,"GEO","May 07, 2019"
"GPL25601","Agilent-062842 Anabaena PCC7120_AGIS_JM091213","in situ oligonucleotide","Nostoc sp. PCC 7120 = FACHB-418",62976,20,1,"Jens Georg","May 06, 2019"
"GPL26626","Agilent-031412 GT_EA444_PigCGH_Microarray 031333","in situ oligonucleotide","Sus scrofa",180880,2,1,"Sonja M. Kessler","May 06, 2019"
"GPL26617","Fluidigm Custom PCR assay for tumor-infiltrating lymphocytes [88 genes]","RT-PCR","Homo sapiens",88,829,1,"Paul G. Thomas","May 04, 2019"
"GPL26625","Illumina HiSeq 2000 (Fusobacterium nucleatum)","high-throughput sequencing","Fusobacterium nucleatum",0,9,1,"GEO","May 04, 2019"
"GPL26593","NanoString nCounter Human gene expression custom codeset","other","Homo sapiens",83,7,2,"Carlos Martinez-Perez","May 03, 2019"
"GPL26616","Illumina HiSeq 3000 (Rattus rattus)","high-throughput sequencing","Rattus rattus",0,14,3,"GEO","May 03, 2019"
"GPL26618","Illumina HiSeq 4000 (Brucella ovis)","high-throughput sequencing","Brucella ovis",0,10,1,"GEO","May 03, 2019"
"GPL26619","Illumina HiSeq 2000 (HIV-1 vector pNL4-3; Homo sapiens)","high-throughput sequencing","HIV-1 vector pNL4-3;Homo sapiens",0,0,0,"GEO","May 03, 2019"
"GPL26620","PacBio RS II (Bacillus subtilis PY79)","high-throughput sequencing","Bacillus subtilis PY79",0,4,2,"GEO","May 03, 2019"
"GPL26622","PacBio RS II (Bacillus subtilis)","high-throughput sequencing","Bacillus subtilis",0,1,2,"GEO","May 03, 2019"
"GPL26623","Ion Torrent Proton (Aeromonas dhakensis)","high-throughput sequencing","Aeromonas dhakensis",0,0,0,"GEO","May 03, 2019"
"GPL26624","PromethION (Mus musculus)","high-throughput sequencing","Mus musculus",0,0,0,"GEO","May 03, 2019"
"GPL26613","Illumina NextSeq 500 (Simmondsia chinensis)","high-throughput sequencing","Simmondsia chinensis",0,44,1,"GEO","May 02, 2019"
"GPL26615","Illumina HiSeq 2000 (Rhodospirillum rubrum)","high-throughput sequencing","Rhodospirillum rubrum",0,2,1,"GEO","May 02, 2019"
"GPL25002","GeoChip 4.2","in situ oligonucleotide","uncultured soil microorganism",51672,18,1,"zhao mengxin","May 01, 2019"
"GPL25018","Agilent-049081 Chicken (Gallus gallus) Gene Expression 4x44K Array (AMADID: 049081)","in situ oligonucleotide","Gallus gallus",28077,12,1,"Genotypic technology","May 01, 2019"
"GPL26599","nCounter PanCancer Progression panel","other","Homo sapiens",784,15,2,"Regine Schneider-Stock","May 01, 2019"
"GPL26609","Illumina HiSeq 2500 (Escherichia coli K-12; Plasmid RP4; Pseudomonas putida KT2440)","high-throughput sequencing","Escherichia coli K-12;Plasmid RP4;Pseudomonas putida KT2440",0,0,0,"GEO","May 01, 2019"
"GPL26611","Illumina HiSeq 4000 (Boehmeria nivea)","high-throughput sequencing","Boehmeria nivea",0,12,1,"GEO","May 01, 2019"
"GPL26591","NanoString nCounter GX NRF2 target gene expression","other","Homo sapiens",128,48,1,"Chibueze Anthony Ihunnah","Apr 30, 2019"
"GPL26595","Illumina HiSeq 2500 (Persea americana)","high-throughput sequencing","Persea americana",0,2,1,"GEO","Apr 30, 2019"
"GPL26596","Illumina HiSeq 2500 (Macadamia integrifolia)","high-throughput sequencing","Macadamia integrifolia",0,2,1,"GEO","Apr 30, 2019"
"GPL26597","Illumina HiSeq 2500 (Mangifera indica)","high-throughput sequencing","Mangifera indica",0,2,1,"GEO","Apr 30, 2019"
"GPL26601","Illumina HiSeq 3000 (Streptococcus pneumoniae TIGR4)","high-throughput sequencing","Streptococcus pneumoniae TIGR4",0,6,1,"GEO","Apr 30, 2019"
"GPL26602","Illumina HiSeq 3000 (Serendipita vermifera)","high-throughput sequencing","Serendipita vermifera",0,3,1,"GEO","Apr 30, 2019"
"GPL26603","Illumina HiSeq 3000 (Bipolaris sorokiniana; Serendipita vermifera)","high-throughput sequencing","Bipolaris sorokiniana;Serendipita vermifera",0,3,1,"GEO","Apr 30, 2019"
"GPL26604","Illumina HiSeq 3000 (Bipolaris sorokiniana)","high-throughput sequencing","Bipolaris sorokiniana",0,3,1,"GEO","Apr 30, 2019"
"GPL26605","Illumina HiSeq 2500 (Hordeum vulgare; Serendipita vermifera)","high-throughput sequencing","Hordeum vulgare;Serendipita vermifera",0,6,1,"GEO","Apr 30, 2019"
"GPL26606","Illumina HiSeq 2500 (Bipolaris sorokiniana; Hordeum vulgare)","high-throughput sequencing","Bipolaris sorokiniana;Hordeum vulgare",0,6,1,"GEO","Apr 30, 2019"
"GPL26607","Illumina HiSeq 2500 (Bipolaris sorokiniana; Hordeum vulgare; Serendipita vermifera)","high-throughput sequencing","Bipolaris sorokiniana;Hordeum vulgare;Serendipita vermifera",0,3,1,"GEO","Apr 30, 2019"
"GPL26586","Illumina NextSeq 500 (Hordeum vulgare; Puccinia graminis f. sp. tritici)","high-throughput sequencing","Hordeum vulgare;Puccinia graminis f. sp. tritici",0,24,1,"GEO","Apr 29, 2019"
"GPL26587","Illumina NextSeq 500 (Prunus avium)","high-throughput sequencing","Prunus avium",0,109,2,"GEO","Apr 29, 2019"
"GPL26590","PacBio RS II (Streptococcus pyogenes)","high-throughput sequencing","Streptococcus pyogenes",0,1,2,"GEO","Apr 29, 2019"
"GPL26592","Illumina NovaSeq 6000 (Escherichia coli str. K-12 substr. MG1655)","high-throughput sequencing","Escherichia coli str. K-12 substr. MG1655",0,0,0,"GEO","Apr 29, 2019"
"GPL26594","Illumina NovaSeq 6000 (Cucumis sativus)","high-throughput sequencing","Cucumis sativus",0,0,0,"GEO","Apr 29, 2019"
"GPL26568","Agilent-063206 Lachancea kluyveri array","in situ oligonucleotide","Lachancea kluyveri",10680,63,3,"Po-Chen Hsu","Apr 26, 2019"
"GPL26584","Illumina HiSeq 2500 (Deinococcus metallilatus)","high-throughput sequencing","Deinococcus metallilatus",0,2,1,"GEO","Apr 26, 2019"
"GPL26585","Illumina HiSeq 2500 (Linum usitatissimum)","high-throughput sequencing","Linum usitatissimum",0,8,1,"GEO","Apr 26, 2019"
"GPL25686","Agilent-017184 Mycobacterium smegmatis  4x44K","in situ oligonucleotide","Mycolicibacterium smegmatis",45193,14,1,"Hans-Joachim Mollenkopf","Apr 25, 2019"
"GPL25708","Agilent-035148 SysteMTb V3","in situ oligonucleotide","Mycobacterium tuberculosis H37Rv;Mycobacterium tuberculosis variant bovis",62976,16,1,"Hans-Joachim Mollenkopf","Apr 25, 2019"
"GPL26569","Illumina HiSeq 2000 (Bradyrhizobium diazoefficiens)","high-throughput sequencing","Bradyrhizobium diazoefficiens",0,4,1,"GEO","Apr 25, 2019"
"GPL26583","Ion Torrent PGM (Nitrospirillum amazonense)","high-throughput sequencing","Nitrospirillum amazonense",0,6,1,"GEO","Apr 25, 2019"
"GPL26564","Illumina HiSeq 4000 (Anser cygnoides domesticus)","high-throughput sequencing","Anser cygnoides domesticus",0,6,1,"GEO","Apr 24, 2019"
"GPL26565","Illumina HiSeq 2500 (Aspergillus oryzae RIB40)","high-throughput sequencing","Aspergillus oryzae RIB40",0,0,0,"GEO","Apr 24, 2019"
"GPL26566","Illumina HiSeq 4000 (Callithrix jacchus)","high-throughput sequencing","Callithrix jacchus",0,38,2,"GEO","Apr 24, 2019"
"GPL26567","Illumina HiSeq 2500 (Amphimedon queenslandica)","high-throughput sequencing","Amphimedon queenslandica",0,43,1,"GEO","Apr 24, 2019"
"GPL26555","Illumina HiSeq 4000 (Triticum polonicum)","high-throughput sequencing","Triticum polonicum",0,18,2,"GEO","Apr 23, 2019"
"GPL26557","Illumina HiSeq 2500 (Pseudomonas aeruginosa PAO1; Pseudomonas virus PA5oct)","high-throughput sequencing","Pseudomonas aeruginosa PAO1;Pseudomonas virus PA5oct",0,0,0,"GEO","Apr 23, 2019"
"GPL26558","Illumina HiSeq 4000 (Schisandra chinensis; Vitis vinifera)","high-throughput sequencing","Schisandra chinensis;Vitis vinifera",0,0,0,"GEO","Apr 23, 2019"
"GPL26559","Illumina HiSeq 2500 (Schisandra chinensis; Vitis vinifera)","high-throughput sequencing","Schisandra chinensis;Vitis vinifera",0,0,0,"GEO","Apr 23, 2019"
"GPL26560","BGISEQ-500 (Drosophila melanogaster)","high-throughput sequencing","Drosophila melanogaster",0,35,3,"GEO","Apr 23, 2019"
"GPL26561","HiSeq X Ten (Pyrus pyrifolia)","high-throughput sequencing","Pyrus pyrifolia",0,0,0,"GEO","Apr 23, 2019"
"GPL26562","Illumina HiSeq 4000 (Citrullus lanatus)","high-throughput sequencing","Citrullus lanatus",0,3,1,"GEO","Apr 23, 2019"
"GPL26526","Illumina NovaSeq 6000 (synthetic construct)","high-throughput sequencing","synthetic construct",0,6,1,"GEO","Apr 22, 2019"
"GPL26548","Illumina HiSeq 2500 (Hyphopichia burtonii)","high-throughput sequencing","Hyphopichia burtonii",0,0,0,"GEO","Apr 22, 2019"
"GPL26549","Illumina HiSeq 2500 (Hyphopichia pseudoburtonii)","high-throughput sequencing","Hyphopichia pseudoburtonii",0,0,0,"GEO","Apr 22, 2019"
"GPL26551","Illumina NovaSeq 6000 (Neurospora crassa)","high-throughput sequencing","Neurospora crassa",0,0,0,"GEO","Apr 22, 2019"
"GPL26552","Qiagen Human miRNome miScript miRNA PCR Array (MIHS-3216Z)","RT-PCR","Homo sapiens",1102,29,1,"Patricia Silveyra","Apr 22, 2019"
"GPL25308","Microarrays of human nuclear encoded tRNAs","spotted oligonucleotide","Homo sapiens",42,41,1,"Irina Chelysheva","Apr 20, 2019"
"GPL26524","Illumina HiSeq 3000 (Nezara viridula)","high-throughput sequencing","Nezara viridula",0,24,1,"GEO","Apr 19, 2019"
"GPL26496","NanoString nCounter Mouse Gene Expression Custom Chip MG534","other","Mus musculus",534,10,1,"Anja Capell","Apr 18, 2019"
"GPL26510","Agilent-084825 Bos taurus_ensembl_201704 Microarray (Probe Name Version)","in situ oligonucleotide","Bos taurus",26046,0,0,"Chiho Yoshida","Apr 18, 2019"
"GPL26519","Illumina HiSeq 2500 (Ogataea parapolymorpha DL-1)","high-throughput sequencing","Ogataea parapolymorpha DL-1",0,4,1,"GEO","Apr 18, 2019"
"GPL26522","MinION (Caenorhabditis elegans)","high-throughput sequencing","Caenorhabditis elegans",0,3,1,"GEO","Apr 18, 2019"
"GPL26523","Illumina NextSeq 500 (Vitis)","high-throughput sequencing","Vitis",0,0,0,"GEO","Apr 18, 2019"
"GPL26511","Infinium Human Exome-12 v1.2 BeadChip","oligonucleotide beads","Homo sapiens",244770,230,1,"GEO admin","Apr 17, 2019"
"GPL26512","Illumina HiSeq 4000 (Pseudomonas putida)","high-throughput sequencing","Pseudomonas putida",0,36,1,"GEO","Apr 17, 2019"
"GPL26513","Illumina HiSeq 2500 (Streptococcus oralis)","high-throughput sequencing","Streptococcus oralis",0,0,0,"GEO","Apr 17, 2019"
"GPL26514","Illumina NovaSeq 6000 (Sparassis latifolia)","high-throughput sequencing","Sparassis latifolia",0,9,1,"GEO","Apr 17, 2019"
"GPL26515","HiSeq X Ten (Sparassis latifolia)","high-throughput sequencing","Sparassis latifolia",0,6,1,"GEO","Apr 17, 2019"
"GPL26518","Illumina HiSeq 2500 (Fundulus grandis)","high-throughput sequencing","Fundulus grandis",0,35,1,"GEO","Apr 17, 2019"
"GPL26508","BGISEQ-500 (Carex littledalei)","high-throughput sequencing","Carex littledalei",0,0,0,"GEO","Apr 16, 2019"
"GPL26509","Illumina NextSeq 500 (Homo sapiens; Toxoplasma gondii RH)","high-throughput sequencing","Homo sapiens;Toxoplasma gondii RH",0,24,1,"GEO","Apr 16, 2019"
"GPL26505","Illumina NextSeq 500 (Siansivirga zeaxanthinifaciens CC-SAMT-1)","high-throughput sequencing","Siansivirga zeaxanthinifaciens CC-SAMT-1",0,0,0,"GEO","Apr 15, 2019"
"GPL26502","Illumina HiSeq 1000 (Lotus japonicus)","high-throughput sequencing","Lotus japonicus",0,14,1,"GEO","Apr 14, 2019"
"GPL26504","Illumina NovaSeq 6000 (Haemophilus influenzae R2866)","high-throughput sequencing","Haemophilus influenzae R2866",0,6,1,"GEO","Apr 14, 2019"
"GPL26497","Illumina Hiseq 2500 (Gallus gallus)","high-throughput sequencing","Gallus gallus",0,2,1,"GEO","Apr 12, 2019"
"GPL26498","Illumina Hiseq 2500 (Mus musculus)","high-throughput sequencing","Mus musculus",0,2,1,"GEO","Apr 12, 2019"
"GPL26500","Illumina HiSeq 2500 (Citrus sinensis x Citrus trifoliata; Phytophthora parasitica)","high-throughput sequencing","Citrus sinensis x Citrus trifoliata;Phytophthora parasitica",0,5,1,"GEO","Apr 12, 2019"
"GPL26501","Illumina HiSeq 2500 (Citrus sinensis x Citrus trifoliata)","high-throughput sequencing","Citrus sinensis x Citrus trifoliata",0,2,1,"GEO","Apr 12, 2019"
"GPL26488","NextSeq 550 (Glycine max)","high-throughput sequencing","Glycine max",0,10,1,"GEO","Apr 11, 2019"
"GPL26490","Illumina HiSeq 2000 (Myzus persicae)","high-throughput sequencing","Myzus persicae",0,0,0,"GEO","Apr 11, 2019"
"GPL26492","Illumina HiSeq 2500 (Aegilops speltoides)","high-throughput sequencing","Aegilops speltoides",0,20,1,"GEO","Apr 11, 2019"
"GPL26493","Illumina HiSeq 2500 (Triticum turgidum)","high-throughput sequencing","Triticum turgidum",0,20,1,"GEO","Apr 11, 2019"
"GPL26494","Illumina HiSeq 2500 (Aegilops tauschii)","high-throughput sequencing","Aegilops tauschii",0,20,1,"GEO","Apr 11, 2019"
"GPL25001","[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array [custom CDF]","in situ oligonucleotide","Mus musculus",16395,2,1,"Jukka Hakkola","Apr 10, 2019"
"GPL26474","Agilent-064853 Agilent_Rhesus 026806_and_custom_Cynomolgus genes (8x44k format)","in situ oligonucleotide","Macaca mulatta",62976,6,1,"Sarah Daud","Apr 10, 2019"
"GPL26481","HiSeq X Ten (Papaver somniferum)","high-throughput sequencing","Papaver somniferum",0,33,4,"GEO","Apr 10, 2019"
"GPL26482","Illumina HiSeq 4000 (Bacteroides thetaiotaomicron VPI-5482)","high-throughput sequencing","Bacteroides thetaiotaomicron VPI-5482",0,6,1,"GEO","Apr 10, 2019"
"GPL26483","Illumina NextSeq 500 (Aspidelaps lubricus cowlesi)","high-throughput sequencing","Aspidelaps lubricus cowlesi",0,8,1,"GEO","Apr 10, 2019"
"GPL26484","Illumina HiSeq 2500 (Aspidelaps lubricus cowlesi)","high-throughput sequencing","Aspidelaps lubricus cowlesi",0,6,1,"GEO","Apr 10, 2019"
"GPL26487","Illumina Genome Analyzer II (Dunaliella tertiolecta)","high-throughput sequencing","Dunaliella tertiolecta",0,0,0,"GEO","Apr 10, 2019"
"GPL26475","Illumina NextSeq 500 (Parascaris sp.)","high-throughput sequencing","Parascaris sp.",0,10,1,"GEO","Apr 09, 2019"
"GPL26477","Illumina NextSeq 500 (Listeria monocytogenes)","high-throughput sequencing","Listeria monocytogenes",0,84,2,"GEO","Apr 09, 2019"
"GPL26479","Illumina HiSeq 4000 (Cronobacter sakazakii)","high-throughput sequencing","Cronobacter sakazakii",0,0,0,"GEO","Apr 09, 2019"
"GPL26401","Illumina NextSeq 500 (Labrus bergylta)","high-throughput sequencing","Labrus bergylta",0,0,0,"GEO","Apr 08, 2019"
"GPL26472","Illumina HiSeq 2500 (Kluyveromyces marxianus)","high-throughput sequencing","Kluyveromyces marxianus",0,6,1,"GEO","Apr 08, 2019"
"GPL21700","Agilent Custom Mouse lncRNA (4*180K, Design ID:049801)","in situ oligonucleotide","Mus musculus",91256,6,1,"jing ouyang","Apr 07, 2019"
"GPL26395","Agilent-075606 MacFas_Refseq_mRNA_2015","in situ oligonucleotide","Macaca fascicularis",62976,20,1,"yoshiyuki ishii","Apr 06, 2019"
"GPL26391","Agilent-066316 Rat CpG 2X400K","in situ oligonucleotide","Rattus norvegicus",389347,24,1,"Yoon Cho","Apr 05, 2019"
"GPL26393","TaqMan Fluidigm 96 dynamic arrays","RT-PCR","Homo sapiens",28,687,1,"Sandrine Imbeaud","Apr 05, 2019"
"GPL26396","Illumina HiSeq 3000 (Pteropus alecto)","high-throughput sequencing","Pteropus alecto",0,13,1,"GEO","Apr 05, 2019"
"GPL26397","Illumina NextSeq 500 (Sarcophilus harrisii)","high-throughput sequencing","Sarcophilus harrisii",0,4,2,"GEO","Apr 05, 2019"
"GPL26392","Illumina HiSeq 4000 (Escherichia coli W)","high-throughput sequencing","Escherichia coli W",0,0,0,"GEO","Apr 04, 2019"
"GPL26394","Illumina HiSeq 3000 ([Candida] glabrata)","high-throughput sequencing","[Candida] glabrata",0,8,1,"GEO","Apr 04, 2019"
"GPL26355","Agilent-084555 026652QM_RCUG_HomoSapiens (Probe Name Version)","in situ oligonucleotide","Homo sapiens",34197,32,1,"Oliver Dittrich-Breiholz","Apr 03, 2019"
"GPL26382","Illumina NextSeq 500 (Cryptosporidium parvum)","high-throughput sequencing","Cryptosporidium parvum",0,12,1,"GEO","Apr 03, 2019"
